Date,MVRV-Z Score
2013-09-03,2.023365
2013-09-04,1.83799
2013-09-05,1.826613
2013-09-06,1.700481
2013-09-07,1.746368
2013-09-08,1.694321
2013-09-09,1.770202
2013-09-10,1.78823
2013-09-11,1.907101
2013-09-12,1.885604
2013-09-13,1.894463
2013-09-14,1.803715
2013-09-15,1.816344
2013-09-16,1.83738
2013-09-17,1.84853
2013-09-18,1.840469
2013-09-19,1.756216
2013-09-20,1.718421
2013-09-21,1.728217
2013-09-22,1.711242
2013-09-23,1.699552
2013-09-24,1.716674
2013-09-25,1.705772
2013-09-26,1.727003
2013-09-27,1.769447
2013-09-28,1.768514
2013-09-29,1.770225
2013-09-30,1.737592
2013-10-01,1.767949
2013-10-02,1.18224
2013-10-03,1.514756
2013-10-04,1.618857
2013-10-05,1.600639
2013-10-06,1.622465
2013-10-07,1.642248
2013-10-08,1.65801
2013-10-09,1.680278
2013-10-10,1.693785
2013-10-11,1.701279
2013-10-12,1.709666
2013-10-13,1.815233
2013-10-14,1.877507
2013-10-15,2.015663
2013-10-16,1.923801
2013-10-17,2.043281
2013-10-18,2.248638
2013-10-19,2.540429
2013-10-20,2.539347
2013-10-21,2.815677
2013-10-22,3.017726
2013-10-23,3.297498
2013-10-24,3.023973
2013-10-25,2.749624
2013-10-26,2.597304
2013-10-27,2.914529
2013-10-28,2.929786
2013-10-29,3.074475
2013-10-30,2.901049
2013-10-31,2.994807
2013-11-01,2.960976
2013-11-02,2.976229
2013-11-03,3.069428
2013-11-04,3.410266
2013-11-05,3.668627
2013-11-06,4.026002
2013-11-07,4.481207
2013-11-08,5.252897
2013-11-09,5.073386
2013-11-10,4.898699
2013-11-11,5.085934
2013-11-12,5.190722
2013-11-13,5.78828
2013-11-14,6.013573
2013-11-15,5.697049
2013-11-16,6.023466
2013-11-17,6.667691
2013-11-18,9.050693
2013-11-19,6.935363
2013-11-20,7.370593
2013-11-21,8.804948
2013-11-22,9.296127
2013-11-23,9.13833
2013-11-24,8.358323
2013-11-25,8.051573
2013-11-26,8.594864
2013-11-27,8.604593
2013-11-28,8.554368
2013-11-29,9.18049
2013-11-30,8.598878
2013-12-01,6.866472
2013-12-02,7.265672
2013-12-03,7.095666
2013-12-04,7.457211
2013-12-05,6.346575
2013-12-06,4.628355
2013-12-07,3.617354
2013-12-08,4.177342
2013-12-09,4.949786
2013-12-10,5.433724
2013-12-11,4.578277
2013-12-12,4.487256
2013-12-13,4.446449
2013-12-14,4.207111
2013-12-15,4.220204
