Date,BTC Price,Bubble Index,Google Trends,Difficulty,Transactions,Sent By Address,Tweets
2011-07-15,13.905,-26.03124543,2.902,1563028,7836,14448,0
2011-07-16,13.765,-26.34827306,2.837,1563028,8719,15656,0
2011-07-17,13.44,-26.25775139,2.607,1563028,8209,14622,0
2011-07-18,13.32,-26.38548418,3.162,1563028,8806,15905,0
2011-07-19,13.66,-26.34081846,2.997,1583739,9043,15895,0
2011-07-20,13.787,-26.20451736,3.217,1690896,8714,15764,0
2011-07-21,13.665,-26.12821485,2.63,1690896,8011,14491,0
2011-07-22,13.653,-26.45150236,2.53,1690896,8840,15911,0
2011-07-23,13.69,-25.96903326,2.459,1690896,7269,13661,0
2011-07-24,13.835,-26.14177609,2.76,1690896,8053,14533,0
2011-07-25,14.014,-26.59301165,2.364,1690896,9320,16542,0
2011-07-26,13.956,-26.24420238,2.707,1690896,8194,15114,0
2011-07-27,13.911,-26.16979808,2.565,1690896,7821,14680,0
2011-07-28,13.691,-26.31024154,2.429,1690896,7964,15007,0
2011-07-29,13.494,-26.08107038,2.353,1690896,7151,13678,0
2011-07-30,13.516,-25.43928369,2.453,1690896,6057,11424,0
2011-07-31,13.443,-26.34173778,2.548,1690896,7924,14784,0
2011-08-01,13.222,-26.4255746,2.565,1807232,8030,14686,0
2011-08-02,12.573,-26.77120206,2.992,1888787,8663,15819,0
2011-08-03,10.655,-27.01780291,2.802,1888787,7580,13650,0
2011-08-04,10.019,-27.30999249,2.945,1888787,8178,14258,0
2011-08-05,10.255,-26.98876115,3.23,1888787,7220,13405,0
2011-08-06,8.145,-27.46308803,2.945,1888787,6712,11841,0
2011-08-07,7.218,-27.78204177,3.372,1888787,6584,12295,0
2011-08-08,7.85,-27.88484526,2.707,1888787,7131,13052,0
2011-08-09,8.895,-28.03285981,2.517,1888787,9073,16183,0
2011-08-10,9.975,-27.50008774,2.66,1888787,8183,15098,0
2011-08-11,9.775,-27.46592803,1.9,1888787,7459,13872,0
2011-08-12,9.462,-27.40404915,2.042,1888787,7034,12820,0
2011-08-13,9.801,-27.4423215,2.042,1888787,7268,13683,0
2011-08-14,10.463,-27.19067901,2.612,1888787,7339,13986,0
2011-08-15,10.971,-27.28551227,2.232,1887499,8250,14601,0
2011-08-16,11.059,-27.50322135,2.185,1805701,9493,16144,0
2011-08-17,10.934,-26.90606387,2.992,1805701,7586,13453,0
2011-08-18,10.904,-26.93210463,3.04,1805701,7271,13879,0
2011-08-19,11.24,-26.99712889,2.09,1805701,7483,13414,0
2011-08-20,11.555,-26.78319262,2.137,1805701,7039,12986,0
2011-08-21,11.382,-26.77447654,3.087,1805701,7507,13501,0
2011-08-22,11.103,-27.14845995,2.042,1805701,7646,14114,0
2011-08-23,10.925,-26.9117144,2.565,1805701,7122,13195,0
2011-08-24,10.895,-26.76478675,3.42,1805701,7233,13202,0
2011-08-25,10.254,-27.06972292,2.517,1805701,7106,12928,0
2011-08-26,8.918,-27.58418747,1.947,1805701,7274,13065,0
2011-08-27,8.385,-27.36158716,2.47,1805701,6239,11723,0
2011-08-28,8.831,-26.98237799,2.09,1805701,5473,10448,0
2011-08-29,9.02,-27.69011887,1.852,1805701,7956,13536,0
2011-08-30,8.88,-27.70633558,1.9,1783130,7658,13859,0
2011-08-31,8.495,-27.71930667,1.805,1777774,7137,13322,0
2011-09-01,8.205,-27.73283378,1.9,1777774,7074,12889,0
2011-09-02,8.444,-27.57430682,1.995,1777774,6870,12588,0
2011-09-03,8.54,-27.24221194,1.805,1777774,5780,11237,0
2011-09-04,8.321,-27.59771,2.375,1777774,7124,13084,0
2011-09-05,7.861,-27.79625653,1.852,1777774,6883,12749,0
2011-09-06,7.237,-28.0330731,2.612,1777774,7679,14460,0
2011-09-07,7.025,-28.1010224,1.615,1777774,6954,12886,0
2011-09-08,6.864,-27.9195015,2.09,1777774,6368,11978,0
2011-09-09,5.78,-28.29843497,2.66,1777774,7222,13047,0
2011-09-10,4.897,-28.4008307,2.327,1777774,5860,11283,0
2011-09-11,5.319,-28.31059831,2.47,1777774,6318,11895,0
2011-09-12,6.009,-28.38615499,1.14,1777774,6442,12228,0
2011-09-13,5.925,-28.24930989,1.615,1765183,6377,11535,0
2011-09-14,5.72,-28.27575124,1.52,1755425,6054,11236,0
2011-09-15,5.23,-28.51970815,1.472,1755425,6318,11851,0
2011-09-16,4.83,-28.52967921,1.662,1755425,6090,11006,0
2011-09-17,4.795,-28.47199318,1.282,1755425,5320,10084,0
2011-09-18,4.98,-28.41658509,1.947,1755425,5828,11112,0
2011-09-19,5.331,-28.47949878,1.615,1755425,6526,11878,0
2011-09-20,5.787,-28.56827672,1.472,1755425,8005,13256,0
2011-09-21,5.875,-28.49578232,1.377,1755425,7538,12742,0
2011-09-22,5.536,-28.27899849,1.567,1755425,5991,10797,0
2011-09-23,5.487,-28.35835946,1.472,1755425,6195,11003,0
2011-09-24,5.507,-28.17138104,1.71,1755425,5599,10296,0
2011-09-25,5.375,-28.23087899,1.425,1755425,5585,9894,0
2011-09-26,5.1,-28.33122132,1.52,1755425,5505,10158,0
2011-09-27,4.893,-28.54367683,1.282,1753438,5968,10660,0
2011-09-28,4.844,-28.6340306,0.902,1689334,5870,10714,0
2011-09-29,4.78,-28.50300165,1.14,1689334,5464,9991,0
2011-09-30,4.948,-28.38702804,1.71,1689334,5743,10401,0
2011-10-01,5.1,-28.23485886,1.464,1689334,5231,9693,0
2011-10-02,5.03,-28.12115264,1.396,1689334,4914,9118,0
2011-10-03,5.026,-28.49113395,1.196,1689334,6376,11030,0
2011-10-04,4.992,-28.27099237,1.681,1689334,5697,10134,0
2011-10-05,4.915,-28.32578208,1.41,1689334,5626,10583,0
2011-10-06,4.802,-28.38088351,1.308,1689334,5784,10742,0
2011-10-07,4.51,-28.49447198,1.193,1689334,5536,10470,0
2011-10-08,4.155,-28.4494019,1.786,1689334,5283,9534,0
2011-10-09,4.055,-28.55536305,1.711,1689334,5330,9613,0
2011-10-10,4.1,-28.67557986,1.484,1689334,5759,10356,0
2011-10-11,3.996,-28.78621537,1.213,1689334,5837,10628,0
