Date,VOCD,Reserve Risk Index,HODL Bank,MVOCD
2018-10-14,1468.75079279,0.00343101,1802059.07373317,1639.46627506
2018-10-15,4525.20142347,0.00356583,1806790.42291337,1711.36623389
2018-10-16,3791.79496582,0.00356716,1811506.77771992,1745.58235272
2018-10-17,2061.95561172,0.00354748,1816141.52401907,1807.98440102
2018-10-18,1786.61325297,0.00351318,1820711.84249465,1826.16133651
2018-10-19,4431.91343282,0.00349731,1825138.98742019,1955.93291462
2018-10-20,6159.34682227,0.00350256,1829591.30725192,1955.93291462
2018-10-21,1162.03223157,0.00349766,1834180.48641833,1826.16133651
2018-10-22,2456.69900503,0.00348522,1838632.58713931,1955.93291462
2018-10-23,2191.67213417,0.00347047,1842974.51879572,2054.05601045
2018-10-24,1472.66420040,0.00347192,1847334.26642641,2054.05601045
2018-10-25,1743.59870364,0.00345739,1851780.65837094,1955.93291462
2018-10-26,3499.08496976,0.00345025,1856130.71091280,2054.05601045
2018-10-27,886.86352418,0.00344502,1860486.06022994,2054.05601045
2018-10-28,1081.72682203,0.00343531,1864936.76056839,1955.93291462
2018-10-29,1481.86169142,0.00335057,1869243.86938843,1955.93291462
2018-10-30,1263.90276597,0.00334750,1873689.87578015,1826.16133651
2018-10-31,2855.17365613,0.00335769,1878170.03137496,1826.16133651
2018-11-01,2068.85238271,0.00336911,1882686.84753903,1826.16133651
2018-11-02,2742.80095257,0.00336396,1887110.73168939,1924.28443235
2018-11-03,761.88818902,0.00334780,1891518.88139000,1924.28443235
2018-11-04,1489.61954915,0.00338627,1896015.01895795,1924.28443235
2018-11-05,1771.09432509,0.00336910,1900493.68136458,1924.28443235
2018-11-06,1817.63469370,0.00338119,1904995.03143075,1939.79515271
2018-11-07,2489.68162965,0.00340439,1909556.10608312,1939.79515271
2018-11-08,1720.15226357,0.00334703,1914160.73504725,1802.12397334
2018-11-09,2429.80266190,0.00329984,1918689.98984101,1802.12397334
2018-11-10,1316.25051550,0.00330330,1923264.24878605,1778.85378903
2018-11-11,1026.34186865,0.00328631,1927820.80920099,1778.85378903
2018-11-12,2377.95363881,0.00327099,1932339.34128142,1802.12397334
2018-11-13,2905.35482245,0.00323646,1936667.48411995,1939.79515271
2018-11-14,4870.63382993,0.00287288,1940301.94731616,1939.79515271
2018-11-15,14143.01328852,0.00284920,1943900.71277128,1939.79515271
2018-11-16,2590.08175601,0.00282216,1947453.48546422,1943.24353821
2018-11-17,1137.83003907,0.00281961,1951011.33426646,1943.24353821
2018-11-18,1052.70292143,0.00284196,1954772.34609546,1794.36450940
2018-11-19,3610.69373465,0.00244778,1957770.18160974,1794.36450940
2018-11-20,4940.99190877,0.00220266,1960144.46874160,1943.24353821
2018-11-21,1633.20487240,0.00231765,1962899.42624214,1794.36450940
2018-11-22,1975.19965418,0.00218968,1965408.67728126,1794.36450940
2018-11-23,1679.75541518,0.00217993,1967904.20562516,1794.36450940
